Tamanho Entrada (n),Força Bruta,Divisão e Conquista,Razão (FB/DC)
74,0.000789541947214227,0.0001052680768464741,7.50029800929789
77,0.0006838095815558182,0.0029880247618022716,0.22885003842584234
80,0.0006846126757170024,0.0002277524847733347,3.0059504132231405
83,0.0008166965685392681,0.00010500456157483553,7.777724665391969
86,0.000751796521638569,0.0003155407152677837,2.382565815636682
89,0.0007976230822111431,0.0002628000159012644,3.0350952585589455
92,0.0008423955816971628,0.00026350272329230055,3.1969141387685127
95,0.0009453296661376953,0.00031836409317819695,2.969335067596863
99,0.0010265927565725225,0.00042221420689633017,2.4314500549826135
102,0.0012654756244860198,0.0003659097771895559,3.45843621399177
106,0.0013160329116018194,0.0004210848557321649,3.1253389754745653
110,0.0012887779035066303,0.00047437768233449837,2.7167760025394134
114,0.0015257910678261205,0.00031630616439016243,4.823779108977664
118,0.001553033527575041,0.0003157916821931538,4.917905110069141
122,0.0015791968295448705,0.0004733989113255551,3.3358691618512433
127,0.001738134183381733,0.0005447864532470703,3.1904871588160773
131,0.0018932317432604339,0.00044723560935572575,4.233186498695323
136,0.001850303850675884,0.0006309433987266139,2.932598794773374
141,0.0022485130711605676,0.0005780772158974095,3.8896413996700536
146,0.002473567661486174,0.0003692476372969778,6.698939713178821
151,0.002484735689665142,0.0005545867116827713,4.480337587111956
157,0.0024237381784539473,0.0007351699628328022,3.296840596036663
162,0.00335877820065147,0.0009443383467824836,3.5567529499309027
168,0.002890749981528834,0.0007409422021163138,3.901451386183887
174,0.003082702034398129,0.0008929654171592311,3.4522076389084058
180,0.0034119204470985814,0.0006320978465833162,5.397772616282532
187,0.0036840187875848067,0.0008724990643953022,4.222375631013505
194,0.0038859216790450247,0.0006983656632272821,5.564308046142236
201,0.004205113963076943,0.0007383572427850021,5.6952295168335
208,0.004607263364289936,0.0009986977828176397,4.613270844850983
215,0.005153241910432514,0.0010002412294086657,5.151999096736962
223,0.005443823964972245,0.0010564327239990234,5.153024741949661
231,0.0056052709880628085,0.0011072409780401933,5.06237675377955
240,0.0059011860897666525,0.0011048818889417146,5.3410107893242476
248,0.00645941182186729,0.001256930200677169,5.1390378068625395
257,0.007161102796855725,0.0012653877860621403,5.659215993494709
266,0.007343969847026624,0.0013774947116249486,5.331396037349123
276,0.007990284969932154,0.0015021876284950658,5.31909917134456
286,0.009091515290109735,0.001541263178775185,5.898742937163141
296,0.009578227996826172,0.0016356016460217927,5.856088504265636
307,0.01018540482772024,0.0016338197808516653,6.2341054668899085
318,0.010952686008654143,0.0015825848830373663,6.920757379934824
329,0.011979630118922183,0.0016319877222964639,7.340514855139324
341,0.012582038578234221,0.0015974672217118112,7.876242095754291
354,0.01467107471666838,0.0018538299359773334,7.913926963820354
366,0.014610892847964638,0.00152587890625,9.575394736842105
379,0.015796247281526263,0.0018433646151894017,8.569247316219768
393,0.01623453591999255,0.0018717866194875616,8.673283456015447
407,0.018372535705566406,0.002007923628154554,9.150017185888823
422,0.019856904682360198,0.002211646029823705,8.978337588652481
437,0.021390613756681744,0.0023164121728194388,9.234372883926783
453,0.022239045092934055,0.0026297694758365027,8.456651922260237
469,0.02637799162613718,0.0031707161351254114,8.319253601393065
486,0.026359608298853823,0.0027167797088623047,9.702519572296252
504,0.030796314540662263,0.0035637303402549342,8.641595070422536
522,0.03123809161939119,0.0032879051409269635,9.500910239333788
540,0.032696849421450964,0.0031593096883673418,10.349365097648258
560,0.042908505389564915,0.003707270873220343,11.574148978300089
580,0.03914987413506759,0.0033226138667056433,11.782854013633704
601,0.040281596936677634,0.003512294668900339,11.468740733330714
622,0.043758040980288855,0.00391731764140882,11.170409189628993
645,0.046397234264173005,0.003653112210725483,12.70074161093421
668,0.048435976630763,0.003952126753957648,12.255673880464323
692,0.05249191585339998,0.0037320789537931744,14.06506038679829
717,0.05706696761281867,0.0040033992968107526,14.254627975350898
743,0.0615760652642501,0.004393878735994038,14.01405659191903
770,0.0672240508230109,0.004337197855899208,15.49941991499802
797,0.07039790404470343,0.004423116382799651,15.91590587994984
826,0.07577679031773617,0.004712493796097605,16.07997667402482
856,0.0806866821489836,0.005312806681582802,15.187204614218198
886,0.08522850588748329,0.005277483086836965,16.14946073442835
918,0.09283364446539628,0.005673006961220189,16.36409845783602
951,0.09847451511182283,0.00574283850820441,17.147359266874535
985,0.10393033529582776,0.0060677026447496915,17.12844899968152
1021,0.11188173294067383,0.006388463472065173,17.51308956056475
1058,0.12079230107759174,0.0067033014799419205,18.019822238196323
1096,0.131989039872822,0.0070506522530003595,18.720117676581612
1135,0.14082131887737073,0.007214872460616262,19.518199337004276
1176,0.1481151078876696,0.007434443423622533,19.922824002808607
1218,0.1654411742561742,0.007879432878996196,20.99658399238127
1262,0.19061835188614695,0.008489947569997687,22.452241349495033
1307,0.19799273892452843,0.00931791255348607,21.24861526527787
1354,0.21714251919796593,0.009051887612593802,23.988645075073368
1403,0.2307036801388389,0.00941358114543714,24.507536141085197
1454,0.2528172668657805,0.00985616131832725,25.65068272529935
1506,0.2666027169478567,0.010151725066335578,26.2618141454545
1560,0.284494676088032,0.010961080852307771,25.954983812397828
1616,0.3079166537836978,0.010749716507761102,28.64416504020246
1674,0.329294154518529,0.011558846423500463,28.488496382219953
1734,0.3502198394976164,0.012942100826062654,27.06050927932409
1797,0.4112519339511269,0.014828142366911235,27.734555264914984
1861,0.42588812426516887,0.013590862876490542,31.336356501828124
1928,0.4137971150247674,0.014481055109124435,28.575066658232387
1998,0.4270505905151367,0.015145138690346166,28.19720566754188
2069,0.4581554688905415,0.015580139662090101,29.406377531090705
